sample_name	classification	genome_equivalents	percentage	depth	filter size (um)	cell_state	binned_depth
KJ8283	LL	0.0271115031358534	1.4729201276409711	75.0	20.0	Particle-bound	75
KJ8283	unclassified	0.27529138257024793	14.95609506865011	75.0	20.0	Particle-bound	75
KJ84	HL	0.0441285344555253	70.73410043707115	75.0	5.0	Particle-bound	75
KJ84	LL	0.0028241149099844554	4.526804031754076	75.0	5.0	Particle-bound	75
KJ84	unclassified	0.015433857542547152	24.73909553117478	75.0	5.0	Particle-bound	75
KJ8586	HL	0.27044169558689474	83.71416021428519	75.0	5.0	Particle-bound	75
KJ8586	LL	0.0052280905574987	1.6183348118545315	75.0	5.0	Particle-bound	75
KJ8586	unclassified	0.0473839181448672	14.667504973860284	75.0	5.0	Particle-bound	75
KJ87	HL	0.1471099542075998	69.39857716640859	75.0	1.2	Free-living	75
KJ87	LL	0.0123621108818347	5.831780117081867	75.0	1.2	Free-living	75
KJ87	unclassified	0.052506278291942994	24.76964271650956	75.0	1.2	Free-living	75
KJ88	HL	0.5752402098028455	82.53484129297031	75.0	1.2	Free-living	75
KJ88	LL	0.016007027662208972	2.296670964857276	75.0	1.2	Free-living	75
KJ88	unclassified	0.10571928090618771	15.168487742172413	75.0	1.2	Free-living	75
KJ9	HL	0.08384699784471969	60.29532403609517	5.0	20.0	Particle-bound	5
KJ9	LL	0.0172117978651878	12.377198423337765	5.0	20.0	Particle-bound	5
KJ9	unclassified	0.0380017354094303	27.327477540567052	5.0	20.0	Particle-bound	5
KJ90	HL	2.3890537477483558	72.67967892303956	75.0	0.2	Free-living	75
KJ90	LL	0.1118015618847361	3.4012217718145936	75.0	0.2	Free-living	75
KJ90	unclassified	0.7862447204566425	23.919099305145846	75.0	0.2	Free-living	75
KJ91	HL	11.147421496930813	83.34718488313626	75.0	0.2	Free-living	75
KJ91	LL	0.1673601101828403	1.2513202312581237	75.0	0.2	Free-living	75
KJ91	unclassified	2.0599010682052157	15.401494885605613	75.0	0.2	Free-living	75
KJ92	HL	9.782007847210343	83.63497392606331	75.0	0.2	Free-living	75
KJ92	LL	0.1404322440756161	1.2006785575204986	75.0	0.2	Free-living	75
KJ92	unclassified	1.7736331996055195	15.164347516416193	75.0	0.2	Free-living	75
KJ93	HL	0.005225308178277099	18.998482549317146	150.0	20.0	Particle-bound	150
KJ93	LL	0.0186586350604507	67.84016186140653	150.0	20.0	Particle-bound	150
KJ93	unclassified	0.0036198753673793	13.16135558927633	150.0	20.0	Particle-bound	150
KJ96	HL	0.000498045880677	4.966703662596233	150.0	5.0	Particle-bound	150
KJ96	LL	0.0081690653947931	81.46503884572884	150.0	5.0	Particle-bound	150
KJ96	unclassified	0.0013605834393915	13.56825749167493	150.0	5.0	Particle-bound	150
KJ99	HL	0.0066916220280918	12.659893667420999	150.0	1.2	Free-living	150
KJ99	LL	0.0399716598983653	75.62246670526959	150.0	1.2	Free-living	150
KJ99	unclassified	0.0061935761474146995	11.717639627309419	150.0	1.2	Free-living	150
KJ_100_101	HL	0.0346879217564333	38.68015264807182	150.0	1.2	Free-living	150
KJ_100_101	LL	0.041028964002596	45.75098507647917	150.0	1.2	Free-living	150
KJ_100_101	unclassified	0.013961978934289	15.568862275449016	150.0	1.2	Free-living	150
