sample_name	cell_state	depth	binned_depth	Total Classified Read	Prochlorococcus	Pro/Syn Ratio	Pro Abundance	Pro/Syn Ratio Condition	Pro Abundance Condition	Pro Count Condition	Sample Pass
KJ81	Particle-bound	75.0	75	346861.0	15395.0	4.269273433166944	0.04438377332706762	True	True	False	True
SRR9178111	Free-living	225.0	300	13075384.0	145099.0	19.302780364507118	0.011097111947151992	True	True	True	True
SRR17827588	Free-living	150.0	150	5640209.0	956504.0	22.773904761904763	0.1695866234744138	True	True	True	True
SRR9178112	Free-living	100.0	150	12618648.0	4219006.0	88.87169549006803	0.3343469126010964	True	True	True	True
KJ66	Free-living	1000.0	1000	1626186.0	2787.0	3.766216216216216	0.0017138260936940793	True	False	False	False
SRR9178149	Free-living	100.0	150	11272385.0	5163551.0	218.72965645783032	0.45807085190933416	True	True	True	True
SRR9178150	Free-living	225.0	300	8267516.0	70620.0	19.671309192200557	0.008541864327810192	True	True	True	True
KJ63	Free-living	1000.0	1000	400489.0	848.0	2.014251781472684	0.0021174114644846673	True	False	False	False
SRR9178151	Free-living	25.0	45	14365382.0	5177584.0	85.70598069887934	0.36042090631491736	True	True	True	True
SRR9178152	Free-living	100.0	150	15307611.0	6388851.0	98.39598028646235	0.41736434248296483	True	True	True	True
KJ60	Particle-bound	1000.0	1000	150096.0	434.0	2.358695652173913	0.0028914827843513485	True	True	False	True
SRR9178153	Free-living	125.0	150	4764432.0	530993.0	47.70826594788859	0.11144938158420563	True	True	True	True
SRR9178154	Free-living	200.0	300	12832904.0	64253.0	14.740307409956412	0.005006894776116147	True	True	True	True
KJ57	Particle-bound	1000.0	1000	592565.0	5557.0	0.05579093209108068	0.009377874157265449	False	True	False	False
SRR9178155	Free-living	200.0	300	1742638.0	10630.0	17.34094616639478	0.0060999473212451465	True	True	False	True
SRR9178156	Free-living	5.0	5	11343854.0	3962338.0	99.55623115577889	0.3492938114330456	True	True	True	True
KJ54	Free-living	300.0	300	2006844.0	2291.0	1.2383783783783784	0.0011415934671553942	True	False	False	False
