sample_name	depth	filter size (um)	cell_state	binned_depth	total_classified	pro_percent_in_community
ERR599160	5.0	0.22	Free-living	5	17676396.0	4.851741271241038
SRR9178286	45.0	0.2	Free-living	45	4867667.0	75.16109873580095
SRR9178491	200.0	0.2	Free-living	300	2966223.0	4.41146872639043
SRR9178488	100.0	0.2	Free-living	150	7417432.0	83.40342048299195
ERR599135	5.0	0.22	Free-living	5	2709423.0	55.81358097277539
SRR9178331	225.0	0.2	Free-living	300	2786308.0	2.0539724969386013
ERR1726979	5.0	20.0	Particle-bound	5	843826.0	2.9446829085617177
SRR9178478	175.0	0.2	Free-living	300	5512236.0	24.428798041303022
SRR9178358	75.0	0.2	Free-living	75	7865007.0	84.84607833152596
ERR4691759	5.0	20.0	Particle-bound	5	1749254.0	3.9584874466486855
ERR599080	5.0	0.22	Free-living	5	7970137.0	42.589669412207094
SRR9178357	75.0	0.2	Free-living	75	1632978.0	70.9149786463749
SRR9178479	150.0	0.2	Free-living	150	3263668.0	7.795063713588514
SRR9178356	100.0	0.2	Free-living	150	4953630.0	46.35525866889533
ERR599088	5.0	0.22	Free-living	5	9157752.0	69.06368506157406
SRR9178355	250.0	0.2	Free-living	300	3038241.0	1.844389566199653
SRR9178480	250.0	0.2	Free-living	300	3711024.0	1.6970518110365225
SRR9178354	200.0	0.2	Free-living	300	3405640.0	2.8826299902514654
ERR599091	5.0	0.22	Free-living	5	6159531.0	30.525392274184508
SRR9178353	5.0	0.2	Free-living	5	12333094.0	84.2495889514829
ERR4691756	5.0	20.0	Particle-bound	5	4179519.0	1.0746451924252527
SRR9178339	150.0	0.2	Free-living	150	2099211.0	18.02915476338491
SRR9178481	500.0	0.2	Free-living	1000	2863601.0	1.1894813558173782
ERR599098	5.0	0.22	Free-living	5	7663179.0	79.06488938859447
SRR9178484	150.0	0.2	Free-living	150	5260017.0	47.388325931266
SRR9178332	125.0	0.2	Free-living	150	4438826.0	22.928923098134508
ERR599126	5.0	0.22	Free-living	5	21199758.0	61.45280054611945
SRR9178333	45.0	0.2	Free-living	45	7293085.0	82.77490252753121
SRR9178334	45.0	0.2	Free-living	45	6534641.0	75.29157301831884
SRR9178483	75.0	0.2	Free-living	75	7281126.0	87.03962821135083
ERR599162	5.0	0.22	Free-living	5	37649136.0	28.270725787704663
ERR599119	5.0	0.22	Free-living	5	6333842.0	30.54992530599911
ERR4691753	5.0	20.0	Particle-bound	5	7985071.0	2.4802158928831064
SRR9178482	75.0	0.2	Free-living	75	7622700.0	72.54824406050349
SRR9178336	500.0	0.2	Free-living	1000	3765016.0	1.3727431702813482
ERR599114	5.0	0.22	Free-living	5	6202437.0	30.564550675806945
SRR9178337	5.0	0.2	Free-living	5	9267839.0	83.16573043618907
SRR9178338	5.0	0.2	Free-living	5	6362547.0	74.91207530569126
SRR9178335	5.0	0.2	Free-living	5	6407027.0	83.83687160987459
SRR9178161	225.0	0.2	Free-living	300	3873686.0	6.8137169610546655
SRR17827589	1000.0	0.2	Free-living	1000	3254566.0	2.3418483447562597
SRR9178160	200.0	0.2	Free-living	300	2433260.0	3.5784914065903353
SRR23969141	25.0	0.2	Free-living	45	4161393.0	73.30937020367939
SRR23969142	75.0	0.2	Free-living	75	4353732.0	74.03073960455076
SRR17827547	250.0	0.2	Free-living	300	2109799.0	1.3821695810833166
SRR23969143	25.0	0.2	Free-living	45	3864259.0	83.56507677151039
SRR23969144	75.0	0.2	Free-living	75	7490177.0	76.03489209934558
SRR17827545	500.0	0.2	Free-living	1000	2697459.0	1.4173338686519426
SRR23969145	100.0	0.2	Free-living	150	5438287.0	83.82915429068014
SRR17827548	1000.0	0.2	Free-living	1000	2810241.0	1.0751746914232623
SRR23969146	45.0	0.2	Free-living	45	3661671.0	66.43485993143568
SRR23969147	25.0	0.2	Free-living	45	2582299.0	62.14748950450741
SRR23969148	45.0	0.2	Free-living	45	4140463.0	75.06032537906992
SRR15713234	150.0	20.0	Particle-bound	150	4416309.0	6.6648642565545115
SRR23969149	45.0	0.2	Free-living	45	5446352.0	76.61060100412166
SRR23969150	25.0	0.2	Free-living	45	2904876.0	73.84590598703696
SRR15713233	150.0	20.0	Particle-bound	150	5109777.0	7.322550475294714
SRR23969151	125.0	0.2	Free-living	150	2421866.0	39.248579401172485
SRR15713235	150.0	20.0	Particle-bound	150	1887649.0	9.764050414033541
SRR23969140	125.0	0.2	Free-living	150	5394262.0	43.595361144860966
SRR23969139	5.0	0.2	Free-living	5	4872492.0	71.22765927578743
SRR17827549	175.0	0.2	Free-living	300	2162938.0	3.530059576372508
SRR17827661	225.0	0.2	Free-living	300	1819138.0	1.6922300562134376
SRR17827663	770.0	0.2	Free-living	1000	1464267.0	1.6240207557774642
SRR17827554	1000.0	0.2	Free-living	1000	3035917.0	0.8894182548468882
SRR17827664	500.0	0.2	Free-living	1000	1767551.0	1.5376076843044417
SRR17827665	770.0	0.2	Free-living	1000	3112813.0	0.9237946513330547
SRR17827553	250.0	0.2	Free-living	300	1497680.0	1.5604802093905241
SRR17827666	200.0	0.2	Free-living	300	2154103.0	4.2176720426089185
SRR17827667	225.0	0.2	Free-living	300	2687779.0	3.2389195689080092
SRR17827552	770.0	0.2	Free-living	1000	2646345.0	0.91125684670744
SRR17827668	150.0	0.2	Free-living	150	3708615.0	26.29199849539518
SRR17827669	1000.0	0.2	Free-living	1000	3099139.0	0.8071919329852582
SRR17827551	500.0	0.2	Free-living	1000	1507033.0	1.0094005904316627
SRR17827670	1000.0	0.2	Free-living	1000	2645081.0	0.796383929263414
SRR17827671	200.0	0.2	Free-living	300	1718627.0	2.2531357880447587
SRR17827550	150.0	0.2	Free-living	150	2307934.0	10.676431821707206
SRR17827672	500.0	0.2	Free-living	1000	1453555.0	1.3555730605309053
